1,2,3
-57.2500E-03,+11.1037101E+00,+23.6522E-03
-57.1340E-03,+10.9188359E+00,+23.1292E-03
-57.0180E-03,+10.7280699E+00,+22.5104E-03
-56.9020E-03,+10.5379765E+00,+21.7959E-03
-56.7860E-03,+10.3381175E+00,+21.0303E-03
-56.6700E-03,+10.1375859E+00,+20.1755E-03
-56.5540E-03,+9.9331804E+00,+19.2185E-03
-56.4380E-03,+9.7228831E+00,+18.2169E-03
-56.3220E-03,+9.5223515E+00,+17.1196E-03
-56.2060E-03,+9.3224925E+00,+15.9266E-03
-56.0900E-03,+9.1174144E+00,+14.6379E-03
-55.9740E-03,+8.9077898E+00,+13.1644E-03
-55.8580E-03,+8.6929460E+00,+11.5375E-03
-55.7420E-03,+8.4781023E+00,+9.7769E-03
-55.6260E-03,+8.2632585E+00,+7.7737E-03
-55.5100E-03,+8.0529613E+00,+5.6237E-03
-55.3940E-03,+7.8433366E+00,+3.2888E-03
-55.2780E-03,+7.6330394E+00,+711.4E-06
-55.1620E-03,+7.4325077E+00,-2.1910E-03
-55.0460E-03,+7.2281023E+00,-5.6166E-03
-54.9300E-03,+7.0178050E+00,-9.5718E-03
-54.8140E-03,+6.8127269E+00,-14.2283E-03
-54.6980E-03,+6.6031023E+00,-19.7527E-03
-54.5820E-03,+6.3882585E+00,-26.2209E-03
-54.4660E-03,+6.1734148E+00,-33.8822E-03
-54.3500E-03,+5.9631175E+00,-43.1440E-03
-54.2340E-03,+5.7625859E+00,-54.4156E-03
-54.1180E-03,+5.5581804E+00,-67.4297E-03
-54.0020E-03,+5.3478831E+00,-80.5426E-03
-53.8860E-03,+5.1382585E+00,-89.9476E-03
-53.7700E-03,+4.9279613E+00,-90.6303E-03
-53.6540E-03,+4.7183366E+00,-81.7889E-03
-53.5380E-03,+4.5080394E+00,-68.3475E-03
-53.4220E-03,+4.2984148E+00,-54.6670E-03
-53.3060E-03,+4.0881175E+00,-42.7207E-03
-53.1900E-03,+3.8830394E+00,-32.8931E-03
-53.0740E-03,+3.6779613E+00,-24.7567E-03
-52.9580E-03,+3.4728831E+00,-17.8777E-03
-52.8420E-03,+3.2723515E+00,-12.0514E-03
-52.7260E-03,+3.0724925E+00,-7.1887E-03
-52.6100E-03,+2.8719609E+00,-3.0983E-03
-52.4940E-03,+2.6766484E+00,+411.4E-06
-52.3780E-03,+2.4858824E+00,+3.4871E-03
-52.2620E-03,+2.3003355E+00,+6.1799E-03
-52.1460E-03,+2.1147886E+00,+8.6237E-03
-52.0300E-03,+1.9246952E+00,+10.8380E-03
-51.9140E-03,+1.7339292E+00,+12.7587E-03
-51.7980E-03,+1.5438359E+00,+14.4879E-03
-51.6820E-03,+1.3530699E+00,+16.0703E-03
-51.5660E-03,+1.1675230E+00,+17.5124E-03
-51.4500E-03,+977.4296E-03,+18.8077E-03
-51.3340E-03,+791.2101E-03,+20.0073E-03
-51.2180E-03,+610.8824E-03,+21.1112E-03
-51.1020E-03,+425.3355E-03,+22.0748E-03
-50.9860E-03,+235.2421E-03,+22.9362E-03
-50.8700E-03,+49.0226E-03,+23.7084E-03
-50.7540E-03,-126.7587E-03,+24.3783E-03
-50.6380E-03,-302.5399E-03,+25.0037E-03
-50.5220E-03,-473.7747E-03,+25.5333E-03
-50.4060E-03,-644.3368E-03,+26.0118E-03
-50.2900E-03,-820.1180E-03,+26.4458E-03
-50.1740E-03,-995.8993E-03,+26.7841E-03
-50.0580E-03,-1.1716805E+00,+27.0712E-03
-49.9420E-03,-1.3520083E+00,+27.3137E-03
