1,2,3
-57.2500E-03,+11.1037101E+00,+23.7034E-03
-57.1340E-03,+10.9188359E+00,+23.1292E-03
-57.0180E-03,+10.7235234E+00,+22.5104E-03
-56.9020E-03,+10.5327574E+00,+21.7959E-03
-56.7860E-03,+10.3381175E+00,+21.0303E-03
-56.6700E-03,+10.1330394E+00,+20.1755E-03
-56.5540E-03,+9.9279613E+00,+19.2185E-03
-56.4380E-03,+9.7228831E+00,+18.2169E-03
-56.3220E-03,+9.5178050E+00,+17.1196E-03
-56.2060E-03,+9.3172734E+00,+15.9266E-03
-56.0900E-03,+9.1174144E+00,+14.6379E-03
-55.9740E-03,+8.9077898E+00,+13.2090E-03
-55.8580E-03,+8.6929460E+00,+11.5886E-03
-55.7420E-03,+8.4781023E+00,+9.7769E-03
-55.6260E-03,+8.2632585E+00,+7.7737E-03
-55.5100E-03,+8.0529613E+00,+5.6237E-03
-55.3940E-03,+7.8433366E+00,+3.2888E-03
-55.2780E-03,+7.6330394E+00,+666.9E-06
-55.1620E-03,+7.4279613E+00,-2.2867E-03
-55.0460E-03,+7.2228831E+00,-5.6677E-03
-54.9300E-03,+7.0178050E+00,-9.6163E-03
-54.8140E-03,+6.8127269E+00,-14.3240E-03
-54.6980E-03,+6.6031023E+00,-19.8484E-03
-54.5820E-03,+6.3837120E+00,-26.3612E-03
-54.4660E-03,+6.1681956E+00,-34.1182E-03
-54.3500E-03,+5.9631175E+00,-43.4311E-03
-54.2340E-03,+5.7580394E+00,-54.7473E-03
-54.1180E-03,+5.5529613E+00,-67.8125E-03
-54.0020E-03,+5.3478831E+00,-80.9254E-03
-53.8860E-03,+5.1382585E+00,-90.1522E-03
-53.7700E-03,+4.9279613E+00,-90.4966E-03
-53.6540E-03,+4.7183366E+00,-81.4573E-03
-53.5380E-03,+4.5080394E+00,-67.9647E-03
-53.4220E-03,+4.2984148E+00,-54.2842E-03
-53.3060E-03,+4.0881175E+00,-42.3825E-03
-53.1900E-03,+3.8830394E+00,-32.6060E-03
-53.0740E-03,+3.6779613E+00,-24.4696E-03
-52.9580E-03,+3.4728831E+00,-17.6351E-03
-52.8420E-03,+3.2723515E+00,-11.8600E-03
-52.7260E-03,+3.0724925E+00,-6.9973E-03
-52.6100E-03,+2.8719609E+00,-2.9069E-03
-52.4940E-03,+2.6766484E+00,+602.8E-06
-52.3780E-03,+2.4858824E+00,+3.6339E-03
-52.2620E-03,+2.3003355E+00,+6.2756E-03
-52.1460E-03,+2.1147886E+00,+8.7194E-03
-52.0300E-03,+1.9246952E+00,+10.9337E-03
-51.9140E-03,+1.7339292E+00,+12.8544E-03
-51.7980E-03,+1.5438359E+00,+14.5836E-03
-51.6820E-03,+1.3530699E+00,+16.1215E-03
-51.5660E-03,+1.1629765E+00,+17.5570E-03
-51.4500E-03,+972.2105E-03,+18.9034E-03
-51.3340E-03,+786.6636E-03,+20.1030E-03
-51.2180E-03,+605.6632E-03,+21.2069E-03
-51.1020E-03,+425.3355E-03,+22.1705E-03
-50.9860E-03,+235.2421E-03,+22.9873E-03
-50.8700E-03,+49.0226E-03,+23.7529E-03
-50.7540E-03,-126.7587E-03,+24.4294E-03
-50.6380E-03,-302.5399E-03,+25.0037E-03
-50.5220E-03,-473.7747E-03,+25.5779E-03
-50.4060E-03,-644.3368E-03,+26.0630E-03
-50.2900E-03,-820.1180E-03,+26.4458E-03
-50.1740E-03,-995.8993E-03,+26.8286E-03
-50.0580E-03,-1.1762270E+00,+27.1669E-03
-49.9420E-03,-1.3572274E+00,+27.4094E-03
-49.8260E-03,-1.5330087E+00,+27.5563E-03
-49.7100E-03,-1.7133364E+00,+27.6520E-03
-49.5940E-03,-1.8943368E+00,+27.7477E-03
-49.4780E-03,-2.0701180E+00,+27.7543E-03
-49.3620E-03,-2.2458993E+00,+27.6586E-03
-49.2460E-03,-2.4216805E+00,+27.5629E-03
-49.1300E-03,-2.5974618E+00,+27.4226E-03
-49.0140E-03,-2.7732430E+00,+27.1866E-03
-48.8980E-03,-2.9490243E+00,+26.8995E-03
-48.7820E-03,-3.1202590E+00,+26.6124E-03
-48.6660E-03,-3.2862747E+00,+26.2362E-03
-48.5500E-03,-3.4522903E+00,+25.8022E-03
-48.4340E-03,-3.6137594E+00,+25.3749E-03
-48.3180E-03,-3.7745559E+00,+24.8518E-03
-48.2020E-03,-3.9405715E+00,+24.2330E-03
-48.0860E-03,-4.1065872E+00,+23.5631E-03
-47.9700E-03,-4.2726028E+00,+22.8486E-03
-47.8540E-03,-4.4386184E+00,+22.0385E-03
-47.7380E-03,-4.6000876E+00,+21.1326E-03
-47.6220E-03,-4.7654305E+00,+20.1310E-03
-47.5060E-03,-4.9366653E+00,+19.0782E-03
-47.3900E-03,-5.0981344E+00,+17.9364E-03
-47.2740E-03,-5.2589309E+00,+16.6923E-03
-47.1580E-03,-5.4249465E+00,+15.3590E-03
-47.0420E-03,-5.5909622E+00,+13.8789E-03
-46.9260E-03,-5.7524313E+00,+12.2585E-03
-46.8100E-03,-5.9132278E+00,+10.4913E-03
-46.6940E-03,-6.0746969E+00,+8.5393E-03
-46.5780E-03,-6.2264004E+00,+6.3893E-03
-46.4620E-03,-6.3774313E+00,+4.1436E-03
-46.3460E-03,-6.5291348E+00,+1.6685E-03
-46.2300E-03,-6.6756192E+00,-1.1449E-03
-46.1140E-03,-6.8221036E+00,-4.2899E-03
-45.9980E-03,-6.9731344E+00,-7.9069E-03
-45.8820E-03,-7.1248379E+00,-12.1426E-03
-45.7660E-03,-7.2713223E+00,-17.0037E-03
-45.6500E-03,-7.4178067E+00,-22.5726E-03
-45.5340E-03,-7.5597446E+00,-28.8247E-03
-45.4180E-03,-7.6691844E+00,-34.7087E-03
