1,2,3
-57.2500E-03,+11.0744132E+00,+9.7858E-03
-57.1340E-03,+10.8895390E+00,+10.1309E-03
-57.0180E-03,+10.6942265E+00,+10.4239E-03
-56.9020E-03,+10.4989140E+00,+10.6714E-03
-56.7860E-03,+10.2990550E+00,+10.9122E-03
-56.6700E-03,+10.0985234E+00,+11.1142E-03
-56.5540E-03,+9.8986644E+00,+11.2573E-03
-56.4380E-03,+9.6890398E+00,+11.3617E-03
-56.3220E-03,+9.4832890E+00,+11.4072E-03
-56.2060E-03,+9.2834300E+00,+11.4139E-03
-56.0900E-03,+9.0783519E+00,+11.3163E-03
-55.9740E-03,+8.8687273E+00,+11.2186E-03
-55.8580E-03,+8.6538835E+00,+11.0755E-03
-55.7420E-03,+8.4390398E+00,+10.8802E-03
-55.6260E-03,+8.2241960E+00,+10.6394E-03
-55.5100E-03,+8.0138988E+00,+10.3010E-03
-55.3940E-03,+7.8088206E+00,+9.8649E-03
-55.2780E-03,+7.6037425E+00,+9.3766E-03
-55.1620E-03,+7.3986644E+00,+8.8428E-03
-55.0460E-03,+7.1935863E+00,+8.2569E-03
-54.9300E-03,+6.9885081E+00,+7.6255E-03
-54.8140E-03,+6.7834300E+00,+6.8964E-03
-54.6980E-03,+6.5738054E+00,+6.0697E-03
-54.5820E-03,+6.3589616E+00,+5.1454E-03
-54.4660E-03,+6.1441179E+00,+4.1688E-03
-54.3500E-03,+5.9338206E+00,+3.1468E-03
-54.2340E-03,+5.7332890E+00,+2.0271E-03
-54.1180E-03,+5.5334300E+00,+764.3E-06
-54.0020E-03,+5.3238054E+00,-648.4E-06
-53.8860E-03,+5.1135081E+00,-2.1587E-03
-53.7700E-03,+4.9038835E+00,-3.8121E-03
-53.6540E-03,+4.6935863E+00,-5.7063E-03
-53.5380E-03,+4.4885081E+00,-7.8935E-03
-53.4220E-03,+4.2788835E+00,-10.3282E-03
-53.3060E-03,+4.0685863E+00,-13.0491E-03
-53.1900E-03,+3.8680546E+00,-16.1606E-03
-53.0740E-03,+3.6681956E+00,-19.7083E-03
-52.9580E-03,+3.4631175E+00,-23.8351E-03
-52.8420E-03,+3.2580394E+00,-28.6910E-03
-52.7260E-03,+3.0575077E+00,-34.3737E-03
-52.6100E-03,+2.8621952E+00,-41.2080E-03
-52.4940E-03,+2.6668827E+00,-49.7799E-03
-52.3780E-03,+2.4806632E+00,-60.4481E-03
-52.2620E-03,+2.3003355E+00,-73.4921E-03
-52.1460E-03,+2.1147886E+00,-89.5819E-03
-52.0300E-03,+1.9246952E+00,-108.3236E-03
-51.9140E-03,+1.7339292E+00,-123.1787E-03
-51.7980E-03,+1.5438359E+00,-123.3243E-03
-51.6820E-03,+1.3530699E+00,-108.2832E-03
-51.5660E-03,+1.1629765E+00,-88.8345E-03
-51.4500E-03,+972.2105E-03,-72.0142E-03
-51.3340E-03,+786.6636E-03,-58.3458E-03
-51.2180E-03,+601.1167E-03,-47.3209E-03
-51.1020E-03,+415.5699E-03,-38.6076E-03
-50.9860E-03,+230.0230E-03,-31.5360E-03
-50.8700E-03,+44.4761E-03,-25.5908E-03
-50.7540E-03,-131.9778E-03,-20.6289E-03
-50.6380E-03,-307.0864E-03,-16.3641E-03
-50.5220E-03,-483.5403E-03,-12.6329E-03
-50.4060E-03,-649.5559E-03,-9.4423E-03
-50.2900E-03,-824.6645E-03,-6.6490E-03
-50.1740E-03,-1.0056649E+00,-4.1942E-03
-50.0580E-03,-1.1814462E+00,-2.0390E-03
-49.9420E-03,-1.3617739E+00,-124.6E-06
-49.8260E-03,-1.5427743E+00,+1.5877E-03
-49.7100E-03,-1.7185555E+00,+3.1115E-03
-49.5940E-03,-1.8988833E+00,+4.4787E-03
-49.4780E-03,-2.0798837E+00,+5.7550E-03
-49.3620E-03,-2.2556649E+00,+6.9268E-03
-49.2460E-03,-2.4314462E+00,+8.0078E-03
-49.1300E-03,-2.6072274E+00,+8.9843E-03
-49.0140E-03,-2.7830087E+00,+9.8700E-03
-48.8980E-03,-2.9542434E+00,+10.6512E-03
-48.7820E-03,-3.1202590E+00,+11.3870E-03
-48.6660E-03,-3.2908212E+00,+11.9797E-03
-48.5500E-03,-3.4620559E+00,+12.5134E-03
-48.4340E-03,-3.6235251E+00,+13.0084E-03
-48.3180E-03,-3.7843215E+00,+13.3536E-03
-48.2020E-03,-3.9503372E+00,+13.6466E-03
-48.0860E-03,-4.1163528E+00,+13.8941E-03
-47.9700E-03,-4.2823684E+00,+14.0894E-03
-47.8540E-03,-4.4529305E+00,+14.2392E-03
-47.7380E-03,-4.6196188E+00,+14.2914E-03
-47.6220E-03,-4.7804153E+00,+14.2914E-03
-47.5060E-03,-4.9509774E+00,+14.2459E-03
-47.3900E-03,-5.1176657E+00,+14.1028E-03
-47.2740E-03,-5.2784622E+00,+13.9075E-03
-47.1580E-03,-5.4444778E+00,+13.6667E-03
-47.0420E-03,-5.6104934E+00,+13.3738E-03
-46.9260E-03,-5.7719626E+00,+13.0353E-03
-46.8100E-03,-5.9282126E+00,+12.5992E-03
-46.6940E-03,-6.0844626E+00,+12.1110E-03
-46.5780E-03,-6.2407126E+00,+11.5317E-03
-46.4620E-03,-6.3924161E+00,+10.8936E-03
-46.3460E-03,-6.5434469E+00,+10.2167E-03
-46.2300E-03,-6.6951504E+00,+9.4355E-03
-46.1140E-03,-6.8416348E+00,+8.5633E-03
-45.9980E-03,-6.9881192E+00,+7.5868E-03
-45.8820E-03,-7.1346036E+00,+6.5647E-03
-45.7660E-03,-7.2810879E+00,+5.4905E-03
-45.6500E-03,-7.4275723E+00,+4.3708E-03
-45.5340E-03,-7.5558707E+00,+3.2899E-03
-45.4180E-03,-7.6178277E+00,+2.6770E-03
-45.3020E-03,-7.6003144E+00,+2.6181E-03
-45.1860E-03,-7.5469398E+00,+2.7612E-03
-45.0700E-03,-7.4883461E+00,+2.9566E-03
-44.9540E-03,-7.4297523E+00,+3.1973E-03
-44.8380E-03,-7.3666121E+00,+3.4448E-03
-44.7220E-03,-7.3027992E+00,+3.6401E-03
-44.6060E-03,-7.2442054E+00,+3.8809E-03
-44.4900E-03,-7.1810652E+00,+4.1284E-03
-44.3740E-03,-7.1172523E+00,+4.3237E-03
-44.2580E-03,-7.0541121E+00,+4.5191E-03
-44.1420E-03,-6.9902992E+00,+4.7144E-03
-44.0260E-03,-6.9317054E+00,+4.9097E-03
-43.9100E-03,-6.8731117E+00,+5.1050E-03
-43.7940E-03,-6.8190644E+00,+5.2548E-03
-43.6780E-03,-6.7656898E+00,+5.3980E-03
-43.5620E-03,-6.7116426E+00,+5.5478E-03
-43.4460E-03,-6.6628144E+00,+5.6455E-03
-43.3300E-03,-6.6094398E+00,+5.7886E-03
-43.2140E-03,-6.5553926E+00,+5.9384E-03
-43.0980E-03,-6.5111109E+00,+6.0361E-03
-42.9820E-03,-6.4675019E+00,+6.1337E-03
