1,2,3
-57.2500E-03,+11.0939445E+00,+23.7034E-03
-57.1340E-03,+10.9090702E+00,+23.1292E-03
-57.0180E-03,+10.7183042E+00,+22.5104E-03
-56.9020E-03,+10.5282109E+00,+21.7959E-03
-56.7860E-03,+10.3283519E+00,+21.0303E-03
-56.6700E-03,+10.1278202E+00,+20.1755E-03
-56.5540E-03,+9.9234148E+00,+19.2185E-03
-56.4380E-03,+9.7131175E+00,+18.1724E-03
-56.3220E-03,+9.5080394E+00,+17.0239E-03
-56.2060E-03,+9.3075077E+00,+15.8309E-03
-56.0900E-03,+9.1076488E+00,+14.5422E-03
-55.9740E-03,+8.8980241E+00,+13.1133E-03
-55.8580E-03,+8.6831804E+00,+11.4929E-03
-55.7420E-03,+8.4683366E+00,+9.7257E-03
-55.6260E-03,+8.2534929E+00,+7.7291E-03
-55.5100E-03,+8.0431956E+00,+5.5280E-03
-55.3940E-03,+7.8335710E+00,+3.2377E-03
-55.2780E-03,+7.6232738E+00,+666.9E-06
-55.1620E-03,+7.4227421E+00,-2.2867E-03
-55.0460E-03,+7.2183366E+00,-5.7123E-03
-54.9300E-03,+7.0080394E+00,-9.7120E-03
-54.8140E-03,+6.8029613E+00,-14.4197E-03
-54.6980E-03,+6.5933366E+00,-19.9441E-03
-54.5820E-03,+6.3739464E+00,-26.4569E-03
-54.4660E-03,+6.1584300E+00,-34.2139E-03
-54.3500E-03,+5.9533519E+00,-43.5268E-03
-54.2340E-03,+5.7528202E+00,-54.8876E-03
-54.1180E-03,+5.5484148E+00,-67.9593E-03
-54.0020E-03,+5.3381175E+00,-80.9765E-03
-53.8860E-03,+5.1284929E+00,-90.1077E-03
-53.7700E-03,+4.9181956E+00,-90.3563E-03
-53.6540E-03,+4.7085710E+00,-81.2659E-03
-53.5380E-03,+4.4982738E+00,-67.7733E-03
-53.4220E-03,+4.2886491E+00,-54.1373E-03
-53.3060E-03,+4.0783519E+00,-42.2422E-03
-53.1900E-03,+3.8732738E+00,-32.4591E-03
-53.0740E-03,+3.6681956E+00,-24.3739E-03
-52.9580E-03,+3.4631175E+00,-17.5394E-03
-52.8420E-03,+3.2625859E+00,-11.8088E-03
-52.7260E-03,+3.0627269E+00,-6.9973E-03
-52.6100E-03,+2.8667417E+00,-2.9069E-03
-52.4940E-03,+2.6766484E+00,+602.8E-06
-52.3780E-03,+2.4813359E+00,+3.6339E-03
-52.2620E-03,+2.2905699E+00,+6.2756E-03
-52.1460E-03,+2.1050230E+00,+8.7194E-03
-52.0300E-03,+1.9194761E+00,+10.9337E-03
-51.9140E-03,+1.7293827E+00,+12.8544E-03
-51.7980E-03,+1.5386167E+00,+14.5836E-03
-51.6820E-03,+1.3485234E+00,+16.1215E-03
-51.5660E-03,+1.1577574E+00,+17.5570E-03
-51.4500E-03,+972.2105E-03,+18.9034E-03
-51.3340E-03,+786.6636E-03,+20.1030E-03
-51.2180E-03,+601.1167E-03,+21.1624E-03
-51.1020E-03,+415.5699E-03,+22.1194E-03
-50.9860E-03,+225.4765E-03,+22.9873E-03
-50.8700E-03,+39.2570E-03,+23.7529E-03
-50.7540E-03,-131.9778E-03,+24.4294E-03
-50.6380E-03,-307.0864E-03,+25.0037E-03
-50.5220E-03,-478.9938E-03,+25.5333E-03
-50.4060E-03,-644.3368E-03,+26.0118E-03
-50.2900E-03,-820.1180E-03,+26.4458E-03
-50.1740E-03,-1.0004458E+00,+26.7841E-03
-50.0580E-03,-1.1814462E+00,+27.0712E-03
-49.9420E-03,-1.3617739E+00,+27.3137E-03
-49.8260E-03,-1.5427743E+00,+27.5051E-03
-49.7100E-03,-1.7185555E+00,+27.6520E-03
-49.5940E-03,-1.8988833E+00,+27.7031E-03
-49.4780E-03,-2.0753372E+00,+27.7031E-03
-49.3620E-03,-2.2504458E+00,+27.6586E-03
-49.2460E-03,-2.4268997E+00,+27.5629E-03
-49.1300E-03,-2.5974618E+00,+27.4226E-03
-49.0140E-03,-2.7777895E+00,+27.1866E-03
-48.8980E-03,-2.9542434E+00,+26.8995E-03
-48.7820E-03,-3.1202590E+00,+26.6124E-03
-48.6660E-03,-3.2862747E+00,+26.2808E-03
-48.5500E-03,-3.4522903E+00,+25.8534E-03
-48.4340E-03,-3.6183059E+00,+25.3749E-03
-48.3180E-03,-3.7797751E+00,+24.8518E-03
-48.2020E-03,-3.9405715E+00,+24.2330E-03
-48.0860E-03,-4.1065872E+00,+23.5631E-03
-47.9700E-03,-4.2726028E+00,+22.8486E-03
-47.8540E-03,-4.4431649E+00,+22.0385E-03
-47.7380E-03,-4.6098532E+00,+21.1326E-03
-47.6220E-03,-4.7706497E+00,+20.1310E-03
-47.5060E-03,-4.9412118E+00,+19.0782E-03
-47.3900E-03,-5.1079001E+00,+17.9364E-03
-47.2740E-03,-5.2686965E+00,+16.6477E-03
-47.1580E-03,-5.4347122E+00,+15.3079E-03
-47.0420E-03,-5.6007278E+00,+13.8789E-03
-46.9260E-03,-5.7621969E+00,+12.2585E-03
-46.8100E-03,-5.9184469E+00,+10.4913E-03
-46.6940E-03,-6.0746969E+00,+8.5393E-03
-46.5780E-03,-6.2309469E+00,+6.3893E-03
-46.4620E-03,-6.3826504E+00,+4.1436E-03
-46.3460E-03,-6.5291348E+00,+1.6685E-03
-46.2300E-03,-6.6756192E+00,-1.1003E-03
-46.1140E-03,-6.8266501E+00,-4.2388E-03
-45.9980E-03,-6.9783536E+00,-7.8623E-03
-45.8820E-03,-7.1248379E+00,-12.0469E-03
-45.7660E-03,-7.2713223E+00,-16.9080E-03
-45.6500E-03,-7.4178067E+00,-22.4769E-03
-45.5340E-03,-7.5597446E+00,-28.6844E-03
-45.4180E-03,-7.6691844E+00,-34.5173E-03
-45.3020E-03,-7.7063910E+00,-37.5021E-03
-45.1860E-03,-7.6784394E+00,-37.3123E-03
-45.0700E-03,-7.6296113E+00,-36.2216E-03
-44.9540E-03,-7.5716902E+00,-34.8883E-03
-44.8380E-03,-7.5033308E+00,-33.4973E-03
-44.7220E-03,-7.4349715E+00,-32.1129E-03
-44.6060E-03,-7.3711586E+00,-30.6774E-03
-44.4900E-03,-7.3080183E+00,-29.1973E-03
-44.3740E-03,-7.2442054E+00,-27.7106E-03
-44.2580E-03,-7.1810652E+00,-26.3196E-03
-44.1420E-03,-7.1172523E+00,-25.0243E-03
-44.0260E-03,-7.0541121E+00,-23.8247E-03
-43.9100E-03,-6.9902992E+00,-22.7208E-03
-43.7940E-03,-6.9317054E+00,-21.6681E-03
-43.6780E-03,-6.8731117E+00,-20.6599E-03
-43.5620E-03,-6.8145179E+00,-19.7474E-03
-43.4460E-03,-6.7604707E+00,-18.8861E-03
-43.3300E-03,-6.7116426E+00,-18.0693E-03
-43.2140E-03,-6.6628144E+00,-17.3483E-03
-43.0980E-03,-6.6139863E+00,-16.6783E-03
-42.9820E-03,-6.5651582E+00,-16.0084E-03
-42.8660E-03,-6.5163301E+00,-15.3831E-03
-42.7500E-03,-6.4720484E+00,-14.8088E-03
-42.6340E-03,-6.4284394E+00,-14.2346E-03
-42.5180E-03,-6.3796113E+00,-13.7050E-03
-42.4020E-03,-6.3353297E+00,-13.2264E-03
-42.2860E-03,-6.2962672E+00,-12.7925E-03
-42.1700E-03,-6.2572047E+00,-12.3651E-03
-42.0540E-03,-6.2181422E+00,-11.9757E-03
-41.9380E-03,-6.1790797E+00,-11.6440E-03
-41.8220E-03,-6.1400172E+00,-11.3058E-03
-41.7060E-03,-6.1009547E+00,-11.0187E-03
-41.5900E-03,-6.0618922E+00,-10.7316E-03
-41.4740E-03,-6.0273762E+00,-10.4890E-03
-41.3580E-03,-5.9935328E+00,-10.2531E-03
-41.2420E-03,-5.9544703E+00,-10.0105E-03
-41.1260E-03,-5.9199543E+00,-9.8191E-03
-41.0100E-03,-5.8861109E+00,-9.6277E-03
-40.8940E-03,-5.8515949E+00,-9.4363E-03
-40.7780E-03,-5.8222980E+00,-9.2449E-03
-40.6620E-03,-5.7930012E+00,-9.0535E-03
-40.5460E-03,-5.7591578E+00,-8.9066E-03
-40.4300E-03,-5.7246418E+00,-8.7664E-03
-40.3140E-03,-5.6953449E+00,-8.6195E-03
-40.1980E-03,-5.6660480E+00,-8.5238E-03
-40.0820E-03,-5.6367512E+00,-8.4281E-03
-39.9660E-03,-5.6074543E+00,-8.3324E-03
-39.8500E-03,-5.5781574E+00,-8.2367E-03
-39.7340E-03,-5.5488605E+00,-8.1410E-03
-39.6180E-03,-5.5195637E+00,-8.0453E-03
-39.5020E-03,-5.4902668E+00,-7.9496E-03
-39.3860E-03,-5.4609699E+00,-7.8539E-03
-39.2700E-03,-5.4316730E+00,-7.7582E-03
-39.1540E-03,-5.4023762E+00,-7.6625E-03
-39.0380E-03,-5.3776258E+00,-7.6113E-03
-38.9220E-03,-5.3535480E+00,-7.5668E-03
