1,2,3
-57.2500E-03,+11.0991636E+00,+23.6077E-03
-57.1340E-03,+10.9136167E+00,+23.0334E-03
-57.0180E-03,+10.7235234E+00,+22.4147E-03
-56.9020E-03,+10.5282109E+00,+21.7002E-03
-56.7860E-03,+10.3328984E+00,+20.9346E-03
-56.6700E-03,+10.1330394E+00,+20.1244E-03
-56.5540E-03,+9.9279613E+00,+19.1740E-03
-56.4380E-03,+9.7228831E+00,+18.1212E-03
-56.3220E-03,+9.5178050E+00,+17.0239E-03
-56.2060E-03,+9.3127269E+00,+15.8309E-03
-56.0900E-03,+9.1076488E+00,+14.5422E-03
-55.9740E-03,+8.9025706E+00,+13.1133E-03
-55.8580E-03,+8.6929460E+00,+11.4929E-03
-55.7420E-03,+8.4781023E+00,+9.7257E-03
-55.6260E-03,+8.2632585E+00,+7.7291E-03
-55.5100E-03,+8.0484148E+00,+5.5280E-03
-55.3940E-03,+7.8381175E+00,+3.2377E-03
-55.2780E-03,+7.6330394E+00,+666.9E-06
-55.1620E-03,+7.4279613E+00,-2.2422E-03
-55.0460E-03,+7.2228831E+00,-5.6166E-03
-54.9300E-03,+7.0132585E+00,-9.5718E-03
-54.8140E-03,+6.8075077E+00,-14.2283E-03
-54.6980E-03,+6.6031023E+00,-19.7081E-03
-54.5820E-03,+6.3837120E+00,-26.1698E-03
-54.4660E-03,+6.1636491E+00,-33.8376E-03
-54.3500E-03,+5.9533519E+00,-43.0038E-03
-54.2340E-03,+5.7528202E+00,-54.2688E-03
-54.1180E-03,+5.5529613E+00,-67.2894E-03
-54.0020E-03,+5.3433366E+00,-80.4849E-03
-53.8860E-03,+5.1330394E+00,-90.1770E-03
-53.7700E-03,+4.9234148E+00,-91.1467E-03
-53.6540E-03,+4.7131175E+00,-82.5034E-03
-53.5380E-03,+4.5080394E+00,-69.0686E-03
-53.4220E-03,+4.2938683E+00,-55.2924E-03
-53.3060E-03,+4.0828984E+00,-43.2058E-03
-53.1900E-03,+3.8830394E+00,-33.2759E-03
-53.0740E-03,+3.6779613E+00,-25.0950E-03
-52.9580E-03,+3.4728831E+00,-18.1648E-03
-52.8420E-03,+3.2678050E+00,-12.3385E-03
-52.7260E-03,+3.0672734E+00,-7.4313E-03
-52.6100E-03,+2.8719609E+00,-3.2897E-03
-52.4940E-03,+2.6766484E+00,+220.0E-06
-52.3780E-03,+2.4858824E+00,+3.2511E-03
-52.2620E-03,+2.3003355E+00,+5.9374E-03
-52.1460E-03,+2.1147886E+00,+8.4322E-03
-52.0300E-03,+1.9246952E+00,+10.6466E-03
-51.9140E-03,+1.7339292E+00,+12.6118E-03
-51.7980E-03,+1.5438359E+00,+14.3922E-03
-51.6820E-03,+1.3530699E+00,+15.9301E-03
-51.5660E-03,+1.1629765E+00,+17.3656E-03
-51.4500E-03,+972.2105E-03,+18.7120E-03
-51.3340E-03,+786.6636E-03,+19.9116E-03
-51.2180E-03,+601.1167E-03,+21.0155E-03
-51.1020E-03,+420.1163E-03,+21.9791E-03
-50.9860E-03,+235.2421E-03,+22.7959E-03
-50.8700E-03,+49.0226E-03,+23.5615E-03
-50.7540E-03,-126.7587E-03,+24.2826E-03
-50.6380E-03,-302.5399E-03,+24.9080E-03
-50.5220E-03,-473.7747E-03,+25.4376E-03
-50.4060E-03,-644.3368E-03,+25.9161E-03
-50.2900E-03,-820.1180E-03,+26.3501E-03
-50.1740E-03,-995.8993E-03,+26.6884E-03
-50.0580E-03,-1.1762270E+00,+26.9755E-03
-49.9420E-03,-1.3572274E+00,+27.2180E-03
-49.8260E-03,-1.5375551E+00,+27.4094E-03
-49.7100E-03,-1.7185555E+00,+27.5563E-03
-49.5940E-03,-1.8943368E+00,+27.6074E-03
-49.4780E-03,-2.0701180E+00,+27.6074E-03
-49.3620E-03,-2.2458993E+00,+27.5629E-03
-49.2460E-03,-2.4216805E+00,+27.4672E-03
-49.1300E-03,-2.5974618E+00,+27.3269E-03
-49.0140E-03,-2.7732430E+00,+27.1355E-03
-48.8980E-03,-2.9490243E+00,+26.8995E-03
-48.7820E-03,-3.1157126E+00,+26.5679E-03
-48.6660E-03,-3.2810555E+00,+26.1851E-03
-48.5500E-03,-3.4522903E+00,+25.7577E-03
-48.4340E-03,-3.6137594E+00,+25.2792E-03
-48.3180E-03,-3.7745559E+00,+24.7561E-03
-48.2020E-03,-3.9405715E+00,+24.1819E-03
-48.0860E-03,-4.1020407E+00,+23.5186E-03
-47.9700E-03,-4.2673837E+00,+22.7975E-03
-47.8540E-03,-4.4431649E+00,+22.0385E-03
-47.7380E-03,-4.6098532E+00,+21.1326E-03
-47.6220E-03,-4.7706497E+00,+20.1310E-03
-47.5060E-03,-4.9366653E+00,+19.0782E-03
-47.3900E-03,-5.0981344E+00,+17.9364E-03
-47.2740E-03,-5.2589309E+00,+16.6477E-03
-47.1580E-03,-5.4294930E+00,+15.3079E-03
-47.0420E-03,-5.5961813E+00,+13.8789E-03
-46.9260E-03,-5.7569778E+00,+12.3031E-03
-46.8100E-03,-5.9184469E+00,+10.5425E-03
-46.6940E-03,-6.0746969E+00,+8.5393E-03
-46.5780E-03,-6.2264004E+00,+6.4338E-03
-46.4620E-03,-6.3774313E+00,+4.2393E-03
-46.3460E-03,-6.5291348E+00,+1.7642E-03
-46.2300E-03,-6.6756192E+00,-1.0046E-03
-46.1140E-03,-6.8221036E+00,-4.0985E-03
-45.9980E-03,-6.9731344E+00,-7.6709E-03
-45.8820E-03,-7.1248379E+00,-11.8109E-03
-45.7660E-03,-7.2667758E+00,-16.6208E-03
-45.6500E-03,-7.4080411E+00,-22.1453E-03
-45.5340E-03,-7.5545254E+00,-28.3016E-03
-45.4180E-03,-7.6691844E+00,-34.1345E-03
-45.3020E-03,-7.7063910E+00,-37.1193E-03
-45.1860E-03,-7.6784394E+00,-36.9294E-03
-45.0700E-03,-7.6296113E+00,-35.8833E-03
-44.9540E-03,-7.5716902E+00,-34.6012E-03
-44.8380E-03,-7.5033308E+00,-33.2102E-03
-44.7220E-03,-7.4349715E+00,-31.8258E-03
-44.6060E-03,-7.3711586E+00,-30.3903E-03
-44.4900E-03,-7.3080183E+00,-28.9102E-03
-44.3740E-03,-7.2442054E+00,-27.4235E-03
-44.2580E-03,-7.1810652E+00,-26.0325E-03
-44.1420E-03,-7.1172523E+00,-24.7372E-03
-44.0260E-03,-7.0541121E+00,-23.5376E-03
-43.9100E-03,-6.9902992E+00,-22.4337E-03
-43.7940E-03,-6.9317054E+00,-21.3810E-03
-43.6780E-03,-6.8731117E+00,-20.3728E-03
-43.5620E-03,-6.8145179E+00,-19.4603E-03
-43.4460E-03,-6.7604707E+00,-18.6436E-03
-43.3300E-03,-6.7116426E+00,-17.8779E-03
-43.2140E-03,-6.6628144E+00,-17.1569E-03
-43.0980E-03,-6.6094398E+00,-16.4424E-03
-42.9820E-03,-6.5599390E+00,-15.7659E-03
-42.8660E-03,-6.5163301E+00,-15.1471E-03
-42.7500E-03,-6.4675019E+00,-14.5217E-03
-42.6340E-03,-6.4232203E+00,-13.9921E-03
-42.5180E-03,-6.3796113E+00,-13.4690E-03
-42.4020E-03,-6.3353297E+00,-12.9839E-03
-42.2860E-03,-6.2962672E+00,-12.5565E-03
-42.1700E-03,-6.2526582E+00,-12.1226E-03
-42.0540E-03,-6.2129230E+00,-11.7843E-03
-41.9380E-03,-6.1790797E+00,-11.4526E-03
-41.8220E-03,-6.1400172E+00,-11.1144E-03
-41.7060E-03,-6.1009547E+00,-10.8273E-03
-41.5900E-03,-6.0618922E+00,-10.5402E-03
-41.4740E-03,-6.0228297E+00,-10.2976E-03
-41.3580E-03,-5.9883137E+00,-10.0616E-03
-41.2420E-03,-5.9544703E+00,-9.8191E-03
-41.1260E-03,-5.9199543E+00,-9.6277E-03
-41.0100E-03,-5.8861109E+00,-9.4363E-03
-40.8940E-03,-5.8515949E+00,-9.2449E-03
-40.7780E-03,-5.8222980E+00,-9.0535E-03
-40.6620E-03,-5.7884547E+00,-8.9066E-03
-40.5460E-03,-5.7539387E+00,-8.7664E-03
-40.4300E-03,-5.7246418E+00,-8.6195E-03
-40.3140E-03,-5.6953449E+00,-8.4792E-03
-40.1980E-03,-5.6660480E+00,-8.3324E-03
-40.0820E-03,-5.6367512E+00,-8.2367E-03
-39.9660E-03,-5.6074543E+00,-8.1410E-03
-39.8500E-03,-5.5781574E+00,-8.0453E-03
-39.7340E-03,-5.5488605E+00,-7.9496E-03
-39.6180E-03,-5.5195637E+00,-7.8539E-03
-39.5020E-03,-5.4902668E+00,-7.7582E-03
-39.3860E-03,-5.4609699E+00,-7.6625E-03
-39.2700E-03,-5.4316730E+00,-7.5668E-03
-39.1540E-03,-5.4023762E+00,-7.5156E-03
-39.0380E-03,-5.3730793E+00,-7.4711E-03
-38.9220E-03,-5.3483289E+00,-7.3754E-03
-38.8060E-03,-5.3242512E+00,-7.3242E-03
-38.6900E-03,-5.2949543E+00,-7.2797E-03
-38.5740E-03,-5.2702039E+00,-7.2285E-03
-38.4580E-03,-5.2461262E+00,-7.1840E-03
-38.3420E-03,-5.2168293E+00,-7.1328E-03
-38.2260E-03,-5.1920789E+00,-7.0883E-03
-38.1100E-03,-5.1680012E+00,-7.0371E-03
-37.9940E-03,-5.1432508E+00,-6.9926E-03
-37.8780E-03,-5.1237195E+00,-6.9414E-03
-37.7620E-03,-5.0996418E+00,-6.8969E-03
-37.6460E-03,-5.0748914E+00,-6.8457E-03
-37.5300E-03,-5.0553601E+00,-6.8011E-03
-37.4140E-03,-5.0358289E+00,-6.7500E-03
-37.2980E-03,-5.0162976E+00,-6.7500E-03
-37.1820E-03,-4.9922199E+00,-6.7054E-03
-37.0660E-03,-4.9674695E+00,-6.6543E-03
-36.9500E-03,-4.9433918E+00,-6.6543E-03
-36.8340E-03,-4.9186414E+00,-6.6097E-03
-36.7180E-03,-4.8945637E+00,-6.5586E-03
-36.6020E-03,-4.8698133E+00,-6.5586E-03
-36.4860E-03,-4.8457355E+00,-6.5586E-03
-36.3700E-03,-4.8209851E+00,-6.5140E-03
-36.2540E-03,-4.8014539E+00,-6.4629E-03
-36.1380E-03,-4.7773762E+00,-6.4629E-03
-36.0220E-03,-4.7526258E+00,-6.4629E-03
-35.9060E-03,-4.7330945E+00,-6.4183E-03
-35.7900E-03,-4.7090168E+00,-6.3672E-03
-35.6740E-03,-4.6842664E+00,-6.3672E-03
-35.5580E-03,-4.6647351E+00,-6.3672E-03
-35.4420E-03,-4.6497504E+00,-6.3672E-03
-35.3260E-03,-4.6354383E+00,-6.3226E-03
-35.2100E-03,-4.6159070E+00,-6.2715E-03
-35.0940E-03,-4.5963758E+00,-6.2715E-03
-34.9780E-03,-4.5768445E+00,-6.2715E-03
-34.8620E-03,-4.5573133E+00,-6.2715E-03
-34.7460E-03,-4.5377820E+00,-6.2269E-03
-34.6300E-03,-4.5182508E+00,-6.1758E-03
-34.5140E-03,-4.4941730E+00,-6.1758E-03
-34.3980E-03,-4.4694226E+00,-6.1758E-03
-34.2820E-03,-4.4498914E+00,-6.1758E-03
-34.1660E-03,-4.4303601E+00,-6.1758E-03
-34.0500E-03,-4.4108289E+00,-6.1312E-03
-33.9340E-03,-4.3912976E+00,-6.0801E-03
-33.8180E-03,-4.3717664E+00,-6.0801E-03
-33.7020E-03,-4.3522351E+00,-6.0801E-03
-33.5860E-03,-4.3327039E+00,-6.0801E-03
-33.4700E-03,-4.3131726E+00,-6.0801E-03
-33.3540E-03,-4.2936414E+00,-6.0355E-03
-33.2380E-03,-4.2741101E+00,-5.9844E-03
-33.1220E-03,-4.2545789E+00,-5.9844E-03
-33.0060E-03,-4.2350476E+00,-5.9844E-03
-32.8900E-03,-4.2155164E+00,-5.9844E-03
-32.7740E-03,-4.1959851E+00,-5.9844E-03
-32.6580E-03,-4.1764539E+00,-5.9844E-03
-32.5420E-03,-4.1569226E+00,-5.9844E-03
-32.4260E-03,-4.1419379E+00,-5.9398E-03
-32.3100E-03,-4.1276258E+00,-5.8887E-03
-32.1940E-03,-4.1126410E+00,-5.8887E-03
-32.0780E-03,-4.0983289E+00,-5.8887E-03
-31.9620E-03,-4.0787976E+00,-5.8887E-03
-31.8460E-03,-4.0592664E+00,-5.8887E-03
-31.7300E-03,-4.0397351E+00,-5.8887E-03
-31.6140E-03,-4.0202039E+00,-5.8441E-03
-31.4980E-03,-4.0006726E+00,-5.7930E-03
-31.3820E-03,-3.9811414E+00,-5.7930E-03
