1,2,3
-57.2500E-03,+11.0698667E+00,+5.3845E-03
-57.1340E-03,+10.8797734E+00,+5.9704E-03
-57.0180E-03,+10.6890074E+00,+6.5109E-03
-56.9020E-03,+10.4943675E+00,+7.0447E-03
-56.7860E-03,+10.2938359E+00,+7.6306E-03
-56.6700E-03,+10.0939769E+00,+8.1711E-03
-56.5540E-03,+9.8888988E+00,+8.6139E-03
-56.4380E-03,+9.6838206E+00,+9.0045E-03
-56.3220E-03,+9.4787425E+00,+9.3497E-03
-56.2060E-03,+9.2736644E+00,+9.5972E-03
-56.0900E-03,+9.0685863E+00,+9.7925E-03
-55.9740E-03,+8.8589616E+00,+9.9878E-03
-55.8580E-03,+8.6441179E+00,+10.1377E-03
-55.7420E-03,+8.4338206E+00,+10.1898E-03
-55.6260E-03,+8.2241960E+00,+10.1898E-03
-55.5100E-03,+8.0138988E+00,+10.1444E-03
-55.3940E-03,+7.8042741E+00,+10.0467E-03
-55.2780E-03,+7.5939769E+00,+9.9036E-03
-55.1620E-03,+7.3934452E+00,+9.6628E-03
-55.0460E-03,+7.1935863E+00,+9.3699E-03
-54.9300E-03,+6.9885081E+00,+9.0314E-03
-54.8140E-03,+6.7788835E+00,+8.5953E-03
-54.6980E-03,+6.5685863E+00,+8.0616E-03
-54.5820E-03,+6.3544152E+00,+7.4756E-03
-54.4660E-03,+6.1343523E+00,+6.8442E-03
-54.3500E-03,+5.9286015E+00,+6.1607E-03
-54.2340E-03,+5.7332890E+00,+5.4771E-03
-54.1180E-03,+5.5288835E+00,+4.7025E-03
-54.0020E-03,+5.3185863E+00,+3.8236E-03
-53.8860E-03,+5.1089616E+00,+2.8538E-03
-53.7700E-03,+4.8986644E+00,+1.7341E-03
-53.6540E-03,+4.6935863E+00,+516.8E-06
-53.5380E-03,+4.4885081E+00,-798.2E-06
-53.4220E-03,+4.2743370E+00,-2.2109E-03
-53.3060E-03,+4.0633671E+00,-3.7667E-03
-53.1900E-03,+3.8635081E+00,-5.5632E-03
-53.0740E-03,+3.6584300E+00,-7.6073E-03
-52.9580E-03,+3.4533519E+00,-9.8466E-03
-52.8420E-03,+3.2528202E+00,-12.3722E-03
-52.7260E-03,+3.0575077E+00,-15.2885E-03
-52.6100E-03,+2.8621952E+00,-18.5953E-03
-52.4940E-03,+2.6668827E+00,-22.3383E-03
-52.3780E-03,+2.4761167E+00,-26.6604E-03
-52.2620E-03,+2.2905699E+00,-31.6662E-03
-52.1460E-03,+2.1050230E+00,-37.5829E-03
-52.0300E-03,+1.9149296E+00,-44.8533E-03
-51.9140E-03,+1.7241636E+00,-54.0044E-03
-51.7980E-03,+1.5386167E+00,-65.5381E-03
-51.6820E-03,+1.3485234E+00,-79.9290E-03
-51.5660E-03,+1.1577574E+00,-98.2246E-03
-51.4500E-03,+972.2105E-03,-118.7981E-03
-51.3340E-03,+786.6636E-03,-131.5180E-03
-51.2180E-03,+601.1167E-03,-125.7015E-03
-51.1020E-03,+415.5699E-03,-106.1565E-03
-50.9860E-03,+225.4765E-03,-85.7028E-03
-50.8700E-03,+39.2570E-03,-69.2142E-03
-50.7540E-03,-136.5243E-03,-56.0795E-03
-50.6380E-03,-312.3055E-03,-45.5951E-03
-50.5220E-03,-483.5403E-03,-37.3247E-03
-50.4060E-03,-654.1024E-03,-30.5982E-03
-50.2900E-03,-829.8837E-03,-24.9460E-03
-50.1740E-03,-1.0056649E+00,-20.1861E-03
-50.0580E-03,-1.1859926E+00,-16.0644E-03
-49.9420E-03,-1.3669930E+00,-12.5286E-03
-49.8260E-03,-1.5427743E+00,-9.4878E-03
-49.7100E-03,-1.7231020E+00,-6.7921E-03
-49.5940E-03,-1.9041024E+00,-4.4349E-03
-49.4780E-03,-2.0798837E+00,-2.3774E-03
-49.3620E-03,-2.2556649E+00,-515.2E-06
-49.2460E-03,-2.4314462E+00,+1.1517E-03
-49.1300E-03,-2.6072274E+00,+2.6687E-03
