1,2,3
-57.2500E-03,+11.0698667E+00,+1.1718E-03
-57.1340E-03,+10.8797734E+00,+2.1484E-03
-57.0180E-03,+10.6890074E+00,+3.0340E-03
-56.9020E-03,+10.4943675E+00,+3.8153E-03
-56.7860E-03,+10.2938359E+00,+4.5965E-03
-56.6700E-03,+10.0939769E+00,+5.3323E-03
-56.5540E-03,+9.8888988E+00,+6.0159E-03
-56.4380E-03,+9.6792741E+00,+6.6540E-03
-56.3220E-03,+9.4735234E+00,+7.2400E-03
-56.2060E-03,+9.2736644E+00,+7.8259E-03
-56.0900E-03,+9.0685863E+00,+8.3664E-03
-55.9740E-03,+8.8589616E+00,+8.8092E-03
-55.8580E-03,+8.6441179E+00,+9.1544E-03
-55.7420E-03,+8.4292741E+00,+9.4473E-03
-55.6260E-03,+8.2189769E+00,+9.7403E-03
-55.5100E-03,+8.0138988E+00,+9.9423E-03
-55.3940E-03,+7.8042741E+00,+10.0400E-03
-55.2780E-03,+7.5939769E+00,+10.1377E-03
-55.1620E-03,+7.3888988E+00,+10.1444E-03
-55.0460E-03,+7.1838206E+00,+10.0922E-03
-54.9300E-03,+6.9787425E+00,+10.0013E-03
-54.8140E-03,+6.7736644E+00,+9.8059E-03
-54.6980E-03,+6.5640398E+00,+9.5652E-03
-54.5820E-03,+6.3491960E+00,+9.2722E-03
-54.4660E-03,+6.1343523E+00,+8.9338E-03
-54.3500E-03,+5.9286015E+00,+8.4977E-03
-54.2340E-03,+5.7287425E+00,+7.9639E-03
-54.1180E-03,+5.5236644E+00,+7.3780E-03
-54.0020E-03,+5.3185863E+00,+6.7466E-03
-53.8860E-03,+5.1089616E+00,+6.0630E-03
-53.7700E-03,+4.8986644E+00,+5.3339E-03
-53.6540E-03,+4.6935863E+00,+4.5072E-03
-53.5380E-03,+4.4885081E+00,+3.6283E-03
-53.4220E-03,+4.2788835E+00,+2.6585E-03
-53.3060E-03,+4.0685863E+00,+1.5388E-03
-53.1900E-03,+3.8635081E+00,+321.5E-06
-53.0740E-03,+3.6584300E+00,-1.0390E-03
-52.9580E-03,+3.4533519E+00,-2.5038E-03
-52.8420E-03,+3.2528202E+00,-4.1051E-03
-52.7260E-03,+3.0575077E+00,-5.9538E-03
-52.6100E-03,+2.8621952E+00,-7.9979E-03
-52.4940E-03,+2.6668827E+00,-10.2827E-03
-52.3780E-03,+2.4761167E+00,-12.8605E-03
-52.2620E-03,+2.2905699E+00,-15.7768E-03
-52.1460E-03,+2.1050230E+00,-19.0836E-03
-52.0300E-03,+1.9149296E+00,-22.8266E-03
-51.9140E-03,+1.7241636E+00,-27.2397E-03
-51.7980E-03,+1.5386167E+00,-32.4407E-03
-51.6820E-03,+1.3530699E+00,-38.5527E-03
-51.5660E-03,+1.1629765E+00,-46.1548E-03
-51.4500E-03,+972.2105E-03,-55.7943E-03
-51.3340E-03,+786.6636E-03,-67.9980E-03
-51.2180E-03,+601.1167E-03,-83.5407E-03
-51.1020E-03,+415.5699E-03,-103.8467E-03
-50.9860E-03,+230.0230E-03,-127.0114E-03
-50.8700E-03,+44.4761E-03,-139.9062E-03
-50.7540E-03,-131.9778E-03,-130.3231E-03
-50.6380E-03,-307.0864E-03,-106.9663E-03
-50.5220E-03,-483.5403E-03,-85.0848E-03
-50.4060E-03,-649.5559E-03,-68.2898E-03
-50.2900E-03,-824.6645E-03,-55.1030E-03
-50.1740E-03,-1.0056649E+00,-44.7094E-03
-50.0580E-03,-1.1814462E+00,-36.5889E-03
-49.9420E-03,-1.3617739E+00,-29.9601E-03
-49.8260E-03,-1.5427743E+00,-24.3600E-03
-49.7100E-03,-1.7185555E+00,-19.6911E-03
-49.5940E-03,-1.8988833E+00,-15.6737E-03
-49.4780E-03,-2.0798837E+00,-12.1379E-03
-49.3620E-03,-2.2556649E+00,-9.1426E-03
-49.2460E-03,-2.4314462E+00,-6.4992E-03
-49.1300E-03,-2.6072274E+00,-4.1420E-03
-49.0140E-03,-2.7830087E+00,-2.0845E-03
-48.8980E-03,-2.9542434E+00,-267.7E-06
-48.7820E-03,-3.1202590E+00,+1.3470E-03
-48.6660E-03,-3.2908212E+00,+2.8640E-03
-48.5500E-03,-3.4620559E+00,+4.1925E-03
-48.4340E-03,-3.6235251E+00,+5.3643E-03
-48.3180E-03,-3.7843215E+00,+6.4907E-03
